,Full Name,Fastest Lap Time,Fastest Lap Speed,Fastest Lap,Milliseconds,Points
0,Alexander Albon,87.66230303030302,214.0584545454545,48.03030303030303,3817.7813030303028,4.7272727272727275
1,Carlos Sainz,84.7401666666667,188.96674561403503,41.03508771929825,2280.4109298245608,2.8596491228070176
2,Charles Leclerc,85.46701851851851,202.43301851851842,43.25925925925926,3315.0403333333343,7.0
3,Daniel Ricciardo,90.96501092896177,199.6334808743169,45.36065573770492,3543.7294153005464,6.120218579234972
4,Lando Norris,88.38799999999999,212.3420303030303,45.27272727272727,2643.5975757575757,3.4545454545454546
5,Lewis Hamilton,89.57177099236644,201.22453816793896,43.33206106870229,5012.07270229008,14.072519083969466
6,Max Verstappen,85.78374561403508,195.50942982456144,43.03508771929825,4163.5346228070175,9.736842105263158
7,Pierre Gasly,84.60235593220338,198.93618644067791,45.91525423728814,2213.5046271186443,3.169491525423729
8,Sergio P̩rez,89.16878191489363,195.01786702127674,44.13297872340426,3017.969436170212,3.484042553191489
9,Valtteri Bottas,90.82882236842103,203.4734868421053,47.01973684210526,4542.736322368421,9.657894736842104
